id,study_word,study_letter,study_letter_location,study_word_syllables
,seashell,l,end,2
,snowball,l,end,2
,towel,l,end,2
,vowel,l,end,2
,annual,l,end,3
,baby doll,l,end,3
,basketball,l,end,3
,denial,l,end,3
,factual,l,end,3
,Ferris wheel,l,end,3
,fingernail,l,end,3
,hospital,l,end,3
,manual,l,end,3
,musical,l,end,3
,punctual,l,end,3
,racquet ball,l,end,3
,rock-n-roll,l,end,3
,ski patrol,l,end,3
,snowmobile,l,end,3
,soccer ball,l,end,3
,summer school,l,end,3
,swimming pool,l,end,3
,tetherball,l,end,3
,visual,l,end,3
,certified mail,l,end,4
,Liberty Bell,l,end,4
,nursery school,l,end,4
,tutorial,l,end,4
,unusual,l,end,4
,vice-principal,l,end,4
,ceremonial,l,end,5
,editorial,l,end,5
,individual,l,end,5
,intellectual,l,end,5
,Roman numeral,l,end,5
,testimonial,l,end,5
,teeth,t,beginning,1
,tire,t,beginning,1
,toast,t,beginning,1
,toy,t,beginning,1
,teacher,t,beginning,2
,two,t,beginning,1
,toad,t,beginning,1
,tiger,t,beginning,2
,turkey,t,beginning,2
,taco,t,beginning,2
,tool,t,beginning,1
,tooth,t,beginning,1
,toe,t,beginning,1
,talk,t,beginning,1
,towel,t,beginning,2
,turtle,t,beginning,2
,team,t,beginning,1
,take,t,beginning,1
,tall,t,beginning,1
,taste,t,beginning,1
,tub,t,beginning,1
,touch,t,beginning,1
,top,t,beginning,1
,tongue,t,beginning,1
,time,t,beginning,1
,button,t,middle,2
,guitar,t,middle,2
,kitten,t,middle,2
,mittens,t,middle,2
,potato,t,middle,3
,eighteen,t,middle,2
,rotten,t,middle,2
,hotel,t,middle,2
,cotton,t,middle,2
,motel,t,middle,2
,beauty,t,middle,2
,better,t,middle,2
,city,t,middle,2
,butter,t,middle,2
,little,t,middle,2
,butterfly,t,middle,3
,tomatoe,t,middle,3
,biting,t,middle,2
,Saturday,t,middle,3
,water,t,middle,2
,bat,t,end,1
,boat,t,end,1
,cat,t,end,1
,fruit,t,end,1
,goat,t,end,1
,hat,t,end,1
,coat,t,end,1
,light,t,end,1
,nut,t,end,1
,chocolate,t,end,3
,eat,t,end,1
,bite,t,end,1
,cut,t,end,1
,cute,t,end,1
,feet,t,end,1
,get,t,end,1
,sit,t,end,1
,right,t,end,1
,not,t,end,1
,late,t,end,1
,kite,t,end,1
,hot,t,end,1
,hat,t,end,1
,wet,t,end,1
,white,t,end,1
,table,t,beginning,2
,taken,t,beginning,2
,talent,t,beginning,2
,teacher,t,beginning,2
,teamwork,t,beginning,2
,tennis,t,beginning,2
,Texas,t,beginning,2
,ticket,t,beginning,2
,tiny,t,beginning,2
,tired,t,beginning,2
